ID	Poskey	Day	Month	Year	Hours	Minutes	Latitude	Longitude	Area_surveyedkm2	Seastate	Gannets_in_transect	X	Y
280	20015473	6	7	1991	18	2	55.42	1.09	1.14	4	0	379107.6231	6143189.512
281	20015474	6	7	1991	18	12	55.42	1.15	1.12	4	0	382904.8127	6143086.893
282	20015475	6	7	1991	18	22	55.42	1.21	1.13	4	0	386702.048	6142987.549
283	20015476	6	7	1991	18	32	55.42	1.27	1.15	4	0	390499.3275	6142891.482
284	20015477	6	7	1991	18	42	55.42	1.32	1.1	4	0	393663.7597	6142813.928
285	20015478	6	7	1991	18	52	55.42	1.38	1.12	4	3	397461.1164	6142723.867
286	20015479	6	7	1991	19	2	55.42	1.44	1.17	4	0	401258.5129	6142637.081
287	20015480	6	7	1991	19	12	55.41	1.51	1.2	4	0	405665.0287	6141427.238
288	20015481	7	7	1991	11	40	55.66	0.35	1	0	0	333298.8558	6171423.637
289	20015482	7	7	1991	11	50	55.66	0.3	1.01	0	0	330154.3898	6171544.945
290	20015483	7	7	1991	12	0	55.66	0.25	0.95	0	0	327009.971	6171668.522
291	20015484	7	7	1991	12	10	55.67	0.19	1	0	0	323281.8191	6172932.235
292	20015485	7	7	1991	12	20	55.67	0.14	0.98	0	0	320138.3098	6173060.786
293	20015486	7	7	1991	12	30	55.67	0.09	0.99	0	0	316994.8504	6173191.607
294	20015487	7	7	1991	12	40	55.67	0.03	1.3	0	0	313222.7663	6173351.587
295	20015488	7	7	1991	12	50	55.67	0.03	0.71	0	0	313222.7663	6173351.587
296	20015489	7	7	1991	13	0	55.67	0.07	1	0	0	315737.4808	6173244.57
297	20015490	8	7	1991	5	17	55.92	-0.53	1.1	2	0	279438.9594	6202806.269
298	20015491	8	7	1991	5	27	55.92	-0.47	1.1	2	0	283186.15	6202616.442
299	20015492	8	7	1991	5	37	55.92	-0.41	1.1	2	0	286933.4293	6202429.873
300	20015493	8	7	1991	5	47	55.92	-0.35	1.1	2	0	290680.7958	6202246.561
301	20015494	8	7	1991	5	57	55.92	-0.29	1.1	2	1	294428.248	6202066.507
302	20015495	8	7	1991	6	7	55.92	-0.23	1.1	2	0	298175.7842	6201889.71
303	20015496	8	7	1991	6	17	55.92	-0.19	0.44	2	0	300674.1877	6201773.655
304	20015497	8	7	1991	7	21	55.91	-0.28	1.1	2	0	295000.0382	6200924.536
305	20015498	8	7	1991	7	31	55.91	-0.22	1.09	2	0	298748.5549	6200748.257
306	20015499	8	7	1991	7	41	55.91	-0.16	1.08	2	0	302497.154	6200575.235
307	20015500	8	7	1991	7	51	55.91	-0.11	1.1	2	0	305621.0482	6200433.539
308	20015501	8	7	1991	8	1	55.91	-0.05	1.07	2	0	309369.794	6200266.488
309	20015502	8	7	1991	8	11	55.91	0.01	1.08	3	3	313118.6176	6200102.695
310	20015503	8	7	1991	8	32	55.92	0.08	1.5	3	4	317539.3358	6201028.139
311	20015504	8	7	1991	8	58	55.92	0.17	1.32	3	3	323161.3944	6200794.288
312	20015505	8	7	1991	9	8	55.92	0.22	0.65	3	2	326284.8308	6200667.535
313	20015506	8	7	1991	9	18	55.92	0.27	1.34	3	0	329408.3166	6200543.044
