Year	Nsea	ItalySpermwhales	AdriaticIndividuals	AdriaticEvents	Sunspotcycle	Sunspots	AnnualTT	WinterTTAnom	SpringTTAnom	SummerTTAnom	AutumnTTAnom	AnnualTTAnom	WinterNAO	SpringNAO	SummerNAO	AutumnNAO	CRUwin	CRUspr	CRUsum	CRUaut
1701	1	0	0	0	NA	11	NA	-0.093	-0.749	0.312	0.500	-0.016	0.56	-0.99	-0.54	-0.20	NA	NA	NA	NA
1702	0	0	0	0	12	16	0.124	1.253	-0.093	-0.011	-0.548	0.124	1.00	-0.47	0.23	-0.17	NA	NA	NA	NA
1703	1	0	0	0	12	23	0.090	-0.555	0.669	-0.089	0.035	0.090	0.43	-0.22	-0.30	-0.02	NA	NA	NA	NA
1704	0	0	0	0	12	36	-0.168	-0.474	-0.239	0.260	-0.071	-0.168	-0.42	-0.09	-0.64	-0.22	NA	NA	NA	NA
1705	0	0	0	0	12	58	-0.397	-0.600	-0.641	-0.088	-0.267	-0.397	-0.44	-0.28	0.29	-0.49	NA	NA	NA	NA
1706	0	0	0	0	12	29	0.179	-0.325	-0.129	0.529	0.485	0.179	0.93	0.10	0.36	0.91	NA	NA	NA	NA
1707	0	0	0	0	12	20	0.117	0.676	-0.651	0.484	0.006	0.117	0.08	-0.29	0.16	-0.10	NA	NA	NA	NA
1708	0	0	0	0	12	10	0.270	0.902	0.296	0.259	0.315	0.270	0.84	0.11	0.35	-0.68	NA	NA	NA	NA
1709	0	0	0	0	12	8	-0.883	-3.590	-0.518	0.137	0.071	-0.883	-0.95	-0.42	-0.14	0.23	NA	NA	NA	NA
1710	0	0	0	0	12	3	0.184	-0.676	0.495	0.337	0.021	0.184	0.31	-0.24	0.31	0.35	NA	NA	NA	NA
1711	0	0	0	0	12	0	0.105	0.214	0.523	-0.069	-0.019	0.105	1.14	0.45	0.03	0.01	NA	NA	NA	NA
1712	0	0	0	0	12	0	-0.408	-0.285	-0.501	-0.357	-0.170	-0.408	0.72	-0.73	-0.11	0.47	NA	NA	NA	NA
1713	0	1	1	1	12	2	-0.480	0.286	-1.150	-0.444	-0.802	-0.480	1.16	-0.97	-0.36	-0.62	NA	NA	NA	NA
1714	0	0	0	0	11	11	-0.371	-0.519	-0.615	-0.161	-0.109	-0.371	-0.05	0.01	-0.96	0.17	NA	NA	NA	NA
1715	0	2	2	2	11	27	-0.230	-0.201	0.029	-0.216	-0.005	-0.230	-0.07	0.63	0.17	0.48	NA	NA	NA	NA
1716	0	0	0	0	11	47	-0.794	-1.773	-0.898	-0.120	-0.799	-0.794	-1.24	-0.61	-0.02	-0.50	NA	NA	NA	NA
1717	0	0	0	0	11	63	-0.194	-0.439	-0.046	0.061	-0.426	-0.194	-0.70	-0.26	0.23	-0.02	NA	NA	NA	NA
1718	1	0	0	0	11	60	-0.243	-1.276	-0.015	-0.021	0.045	-0.243	-0.54	0.20	0.00	0.21	NA	NA	NA	NA
1719	0	0	0	0	11	39	-0.212	0.368	-0.498	0.284	-0.496	-0.212	0.12	-0.55	0.07	-0.03	NA	NA	NA	NA
1720	0	0	0	0	11	28	-0.359	-0.324	-0.616	-0.374	-0.520	-0.359	-0.20	-0.41	-0.14	-0.08	NA	NA	NA	NA
1721	1	0	0	0	11	26	-0.154	0.073	-0.526	0.012	-0.182	-0.154	-0.22	-0.62	0.00	-0.04	NA	NA	NA	NA
1722	0	0	0	0	11	22	0.512	1.004	-0.057	0.070	0.682	0.512	0.42	0.44	0.95	0.80	NA	NA	NA	NA
1723	18	0	0	0	11	11	0.314	0.646	0.556	-0.069	0.010	0.314	1.12	0.82	-0.08	0.46	NA	NA	NA	NA
1724	0	0	0	0	11	21	0.026	2.070	-0.545	-0.182	-0.228	0.026	1.46	-0.52	-0.63	-0.95	NA	NA	NA	NA
1725	0	0	0	0	8	40	-0.391	-0.757	-0.474	-0.440	-0.462	-0.391	0.13	-0.33	-0.10	-0.63	NA	NA	NA	NA
1726	0	0	0	0	8	78	-0.236	-0.545	0.251	0.229	-0.457	-0.236	0.18	-0.09	-0.32	-0.32	NA	NA	NA	NA
1727	0	0	0	0	8	122	0.325	0.103	-0.496	0.274	0.581	0.325	-0.20	-0.64	-0.31	0.87	NA	NA	NA	NA
1728	0	0	0	0	8	103	0.064	0.506	0.704	-0.229	0.162	0.064	0.33	0.32	-0.05	0.51	NA	NA	NA	NA
1729	0	0	0	0	8	73	-0.240	-0.672	-0.850	-0.098	0.067	-0.240	-0.96	-0.91	-0.49	0.61	NA	NA	NA	NA
1730	0	0	0	0	8	47	-0.094	0.274	-0.187	0.660	-0.931	-0.094	0.51	0.16	0.91	-0.53	NA	NA	NA	NA
1731	0	0	0	0	8	35	-0.325	-0.327	-0.637	-0.644	0.281	-0.325	-0.04	-0.33	-0.74	0.38	NA	NA	NA	NA
1732	0	0	0	0	8	11	-0.195	-0.125	0.696	-0.404	-0.161	-0.195	0.30	0.61	1.30	0.05	NA	NA	NA	NA
1733	0	0	0	0	12	5	0.296	0.284	-0.192	-0.273	-0.103	0.296	0.30	0.40	0.33	-0.02	NA	NA	NA	NA
1734	0	0	0	0	12	16	0.076	1.692	0.101	-0.038	-0.647	0.076	1.42	0.29	-0.45	-0.10	NA	NA	NA	NA
1735	0	0	0	0	12	34	0.291	0.782	0.632	0.158	-0.408	0.291	1.07	0.46	-0.09	-0.05	NA	NA	NA	NA
1736	0	0	0	0	12	70	0.131	-0.042	-0.400	0.168	0.251	0.131	0.37	-0.40	0.31	0.18	NA	NA	NA	NA
1737	0	0	0	0	12	81	0.111	1.152	-0.383	-0.141	0.079	0.111	1.62	0.42	0.46	0.13	NA	NA	NA	NA
1738	3	0	0	0	12	111	0.224	0.370	0.092	0.238	0.123	0.224	0.68	0.63	1.34	0.73	NA	NA	NA	NA
1739	0	0	0	0	12	101	-0.420	0.009	-0.415	-0.280	-0.948	-0.420	0.35	-0.39	-0.08	-0.90	NA	NA	NA	NA
