Station	Year	Month	Day	Date	CumDate	DayNumber	Latitude	Longitude	Zone	Easting	Northing	Depth	Temperature	Salinity	BottomType	SweptArea	RA	AC	SB
69	1999	11	10	1999-11-10	679	314	-34.3600072	-53.5066768	22H	269468.0449	6195078.739	25.5	14.65	32.7596	1	0.00998	0	0	5
70	1999	11	10	1999-11-10	679	314	-34.5150103	-53.5200104	22H	268669.4302	6177854.649	30.5	14.8583	32.4169	1	0.0104	0	0	0
71	1999	11	11	1999-11-11	680	315	-34.4766762	-53.7200144	22H	250190.3585	6181630.962	25.5	14.9344	32.6847	1	0.01084	0	0	2
72	1999	11	11	1999-11-11	680	315	-34.6766802	-53.6200124	22H	259953.1968	6159687.021	30	14.817	32.4457	1	0.00761	1	0	0
73	1999	11	11	1999-11-11	680	315	-34.6883471	-53.383341	22H	281672.46	6158932.002	65	13.9791	32.7799	2	0.01235	0	0	0
74	1999	11	11	1999-11-11	680	315	-34.8450169	-53.5866784	22H	263489.0136	6141092.173	39.5	13.9818	32.8074	2	0.01275	1	0	0
75	1999	11	11	1999-11-11	680	315	-34.9383521	-53.5316773	22H	268781.0272	6130866.777	20.5	15.6652	32.5736	2	0.01833	5	0	0
76	1999	11	11	1999-11-11	680	315	-34.9566858	-53.1133356	22H	307037.9106	6129720.786	48	11.669	33.3346	3	0.01127	1	0	0
77	1999	11	11	1999-11-11	680	315	-35.2133376	-53.3583405	22H	285337.0899	6100749.911	43.5	11.4174	33.3236	3	0.01054	0	0	0
78	1999	11	12	1999-11-12	681	316	-34.7983493	-54.3750075	21H	740150.5916	6146178.066	22.5	14.3375	32.4416	1	0.00986	0	0	1
79	1999	11	12	1999-11-12	681	316	-34.6633466	-54.0600012	21H	769415.9723	6160356.081	20.5	14.9823	32.2134	1	0.00928	0	0	1
80	1999	11	12	1999-11-12	681	316	-34.9216851	-53.9616859	22H	229442.1672	6131636.565	39.5	14.5688	32.5799	2	0.01031	0	0	2
81	1999	11	12	1999-11-12	681	316	-34.9983533	-53.866684	22H	238367.4585	6123383.712	35.5	15.1458	32.5312	2	0.01069	3	0	0
82	1999	11	12	1999-11-12	681	316	-35.1916705	-54.0150003	21H	771791.0847	6101618.653	32.5	15.0478	32.4349	3	0.01101	0	1	0
83	1999	11	12	1999-11-12	681	316	-35.3050061	-53.8750175	22H	238590.3946	6089339.804	26	14.9985	32.3786	4	0.01125	1	0	0
84	1999	11	12	1999-11-12	681	316	-35.4183417	-54.0266672	21H	769973.5117	6076500.957	27.5	15.4356	32.1972	4	0.01097	0	0	0
85	1999	11	12	1999-11-12	681	316	-35.533344	-54.2616719	21H	748275.7123	6064358.901	25.5	14.9584	32.3443	3	0.01105	0	0	0
86	1999	11	13	1999-11-13	682	317	-34.9750195	-54.5950119	21H	719548.1052	6127084.998	29.5	14.1967	32.4095	1	0.01068	0	0	1
87	1999	11	13	1999-11-13	682	317	-35.1100022	-54.4733428	21H	730278.1365	6111836.591	36.5	13.5269	32.5772	2	0.01014	0	0	1
88	1999	11	13	1999-11-13	682	317	-35.0650013	-54.3016727	21H	746063.1251	6116418.285	32.5	13.603	32.5856	2	0.01182	1	1	1
89	1999	11	13	1999-11-13	682	317	-35.266672	-54.2733388	21H	748033.8826	6093974.221	24.5	15.1898	32.3727	3	0.01188	5	3	1
90	1999	11	13	1999-11-13	682	317	-35.2966726	-54.6016787	21H	718079.2928	6091418.09	27.5	15.0039	32.1957	2	0.01125	0	0	0
91	1999	11	13	1999-11-13	682	317	-35.5450109	-54.5316773	21H	723757.5058	6063711.617	27.5	14.3642	32.4756	3	0.01083	0	0	0
92	1999	11	13	1999-11-13	682	317	-35.7350147	-54.5150103	21H	724735.6504	6042594.271	25	13.7902	32.771	4	0.01022	0	2	2
93	1999	11	13	1999-11-13	682	317	-35.8250165	-54.7533484	21H	702948.2546	6033129.868	24.5	14.5289	32.1817	4	0.01015	2	0	0
94	1999	11	14	1999-11-14	683	318	-36.1566698	-54.8783509	21H	690853.6229	5996588.968	46.5	11.3294	33.5589	4	0.01039	0	0	4
95	1999	11	14	1999-11-14	683	318	-36.3650073	-55.0033334	21H	679132.7571	5973714.56	41.5	11.557	33.4532	3	0.00999	0	0	1
96	1999	11	14	1999-11-14	683	318	-36.4950099	-55.1183357	21H	668532.6997	5959499.171	41.5	11.3408	33.6325	3	0.01239	0	0	1
97	1999	11	14	1999-11-14	683	318	-36.6433462	-55.0633346	21H	673127.9146	5942944.512	51.5	9.9295	33.5542	3	0.01181	0	2	12
98	1999	11	14	1999-11-14	683	318	-36.8083495	-55.4150083	21H	641384.6183	5925215.858	46.5	10.7034	33.5706	4	0.01178	0	2	4
99	1999	11	14	1999-11-14	683	318	-36.9083515	-55.6400128	21H	621154.5904	5914430.825	44.5	10.9795	33.2985	4	0.01262	0	2	3
100	1999	11	14	1999-11-14	683	318	-36.9133516	-55.883351	21H	599469.4337	5914157.544	26.5	11.5513	32.8186	4	0.0105	0	1	2
101	1999	11	14	1999-11-14	683	318	-36.6616799	-55.9066848	21H	597709.8992	5942100.834	23.5	12.401	32.3647	4	0.0094	0	0	0
102	1999	11	15	1999-11-15	684	319	-36.533344	-55.5516777	21H	629653.3108	5955917.645	23.5	14.2653	31.9182	4	0.01066	0	0	0
103	1999	11	15	1999-11-15	684	319	-36.3416735	-55.3583405	21H	647324.0561	5976902.945	23.5	14.2653	31.9182	4	0.01077	0	0	0
104	1999	11	15	1999-11-15	684	319	-36.2050041	-55.4266752	21H	641437.5354	5992165.995	28.5	14.2757	32.0512	4	0.01348	2	0	1
105	1999	11	15	1999-11-15	684	319	-36.2433382	-55.7066808	21H	616207.6317	5988285.744	20.5	15.2882	31.661	4	0.01108	0	0	0
106	1999	11	15	1999-11-15	684	319	-35.9050181	-55.5816783	21H	627987.1892	6025657.236	20.5	15.565	31.8487	3	0.00918	0	0	0
107	1999	11	15	1999-11-15	684	319	-35.7466816	-55.3550071	21H	648738.5385	6042900.087	23.5	15.0687	32.0858	3	0.01132	6	3	2
108	1999	11	15	1999-11-15	684	319	-35.5150103	-55.2616719	21H	657632.9592	6068452.449	20	15.6821	31.8873	3	0.00769	0	0	0
109	1999	11	16	1999-11-16	685	320	-35.0583345	-56.1033354	21H	581765.1623	6120120.304	9.5	16.2367	31.5288	2	0.00866	0	1	5
110	1999	11	16	1999-11-16	685	320	-34.9966866	-55.8033494	21H	609203.4885	6126670.279	11.5	15.4874	32.0575	1	0.00921	0	0	3
111	1999	11	16	1999-11-16	685	320	-34.9050181	-55.6733468	21H	621202.7918	6136686.968	11.5	15.4262	32.1514	1	0.00994	0	0	5
112	1999	11	16	1999-11-16	685	320	-34.9950199	-55.3316733	21H	652254.2199	6126237.735	19	14.3697	32.4387	1	0.01106	0	0	2
113	1999	11	16	1999-11-16	685	320	-35.1633366	-55.3216731	21H	652852.5754	6107553.775	19	14.4103	32.3717	2	0.0098	2	0	0
114	1999	11	16	1999-11-16	685	320	-35.2066708	-55.5133436	21H	635323.0124	6103025.243	13.5	15.1216	32.2014	2	0.00985	1	0	0
115	1999	11	16	1999-11-16	685	320	-35.2783389	-55.7566818	21H	613072.2967	6095380.878	9.5	16.0584	31.9323	3	0.00796	1	0	0
116	1999	11	16	1999-11-16	685	320	-35.3916745	-55.6633466	21H	621391.4338	6082700.151	15.5	16.3927	31.2922	3	0.01037	0	0	0
117	1999	11	16	1999-11-16	685	320	-35.550011	-55.7983493	21H	608916.4443	6065295.92	14.5	16.6403	31.6437	3	0.0093	1	0	0
118	1999	11	17	1999-11-17	686	321	-35.5300106	-56.0966686	21H	581896.5523	6067803.006	10	17.4676	28.9475	3	0.00852	0	0	0
119	1999	11	17	1999-11-17	686	321	-35.4566758	-56.2933392	21H	564124.1896	6076082.017	10	17.4676	28.9475	2	0.00889	0	0	4
120	1999	11	17	1999-11-17	686	321	-35.2350047	-56.1850037	21H	574157.3513	6100591.004	8	17.2642	31.0352	2	0.00922	0	0	4
121	1999	11	17	1999-11-17	686	321	-35.3366734	-56.5850117	21H	537712.7183	6089541.104	7	18.2073	24.5689	1	0.00873	0	0	1
122	1999	11	17	1999-11-17	686	321	-35.1366694	-56.5733448	21H	538868.2701	6111717.358	6.5	17.873	25.8056	1	0.00837	0	0	0
123	1999	11	17	1999-11-17	686	321	-35.0716681	-56.7350147	21H	524159.2745	6118977.068	7.5	18.7603	19.925	1	0.00856	0	0	0
124	1999	11	17	1999-11-17	686	321	-34.9683527	-56.6016787	21H	536361.5679	6130394.052	7.5	18.0683	29.4523	1	0.00932	0	0	0
125	1999	11	17	1999-11-17	686	321	-35.1816703	-56.8350167	21H	515021.656	6106797.627	7.5	19.7177	8.9109	1	0.00875	0	0	0
126	1999	11	17	1999-11-17	686	321	-36.0466676	-56.8050161	21H	517563.0862	6010857.822	12.5	16.4849	26.8106	3	0.01107	0	0	42
127	1999	11	18	1999-11-18	687	322	-35.8050161	-57.0300006	21H	497289.4769	6037677.344	9.5	17.4142	20.6412	2	0.00865	0	0	1
128	1999	11	18	1999-11-18	687	322	-35.6700134	-56.9066848	21H	508445.1758	6052646.866	9.5	17.8857	22.7358	2	0.01127	0	0	6
129	1999	11	18	1999-11-18	687	322	-35.50001	-56.7966826	21H	518439.4956	6071486.436	6.5	18.8918	18.9124	1	0.01129	0	0	0
130	1999	11	18	1999-11-18	687	322	-35.5616779	-56.6016787	21H	536097.4522	6064593.123	14	16.8163	28.6759	2	0.01229	0	0	2
131	1999	11	18	1999-11-18	687	322	-35.7266812	-56.6216791	21H	534214.5098	6046299.946	16.5	16.9875	29.1883	3	0.0092	0	0	1
132	1999	11	18	1999-11-18	687	322	-35.8850177	-56.6200124	21H	534297.1039	6028737.978	17.5	16.9523	30.2509	3	0.01229	0	1	0
133	1999	11	18	1999-11-18	687	322	-36.0033334	-56.3916745	21H	554824.9447	6015510.734	14	17.0441	30.7571	3	0.01087	0	2	0
134	1999	11	19	1999-11-19	688	323	-36.3516737	-56.6300126	21H	533197.474	5976981.112	14.5	16.5669	28.613	2	0.00889	0	0	42
135	1999	11	19	1999-11-19	688	323	-36.3683407	-56.2383381	21H	568326.734	5974926.611	19.5	16.5528	30.0957	4	0.00994	0	1	16
136	1999	11	19	1999-11-19	688	323	-36.5850117	-56.2600052	21H	566198.4514	5950907.223	19.5	15.8219	30.886	4	0.01084	2	0	0
137	1999	11	19	1999-11-19	688	323	-36.7683487	-56.5016767	21H	544473.152	5930709.192	14.5	14.0944	30.4557	3	0.01083	1	0	0
138	1999	11	19	1999-11-19	688	323	-37.1400028	-56.4933432	21H	544997.7031	5889476.357	20.5	12.6002	32.7216	4	0.01046	2	0	0
139	1999	11	19	1999-11-19	688	323	-37.2783389	-56.7616819	21H	521127.0812	5874223.251	19.5	14.3134	32.6589	3	0.0111	0	1	1
140	1999	11	25	1999-11-25	694	329	-37.9433522	-57.1900038	21H	483305.3425	5800453.12	21.5	15.4588	33.7119	3	0.01239	0	0	0
141	1999	11	25	1999-11-25	694	329	-37.6416795	-57.0383341	21H	496618.0584	5833939.48	16	16.5219	33.2217	3	0.01191	0	1	0
142	1999	11	25	1999-11-25	694	329	-37.5133436	-56.5566778	21H	539178.4101	5848085.983	26.5	13.4696	33.5582	2	0.01082	0	1	0
143	1999	11	25	1999-11-25	694	329	-37.7566818	-56.7683487	21H	520405.3942	5821155.823	32	16.1095	33.8861	2	0.01147	0	0	0
144	1999	11	26	1999-11-26	695	330	-38.1766702	-57.0850017	21H	492555.0166	5774579.346	44	12.329	33.9035	3	0.01095	1	1	3
145	1999	11	26	1999-11-26	695	330	-38.2683387	-57.566678	21H	450428.8326	5764259.734	34.5	12.8032	33.7986	2	0.01089	0	1	1
146	2003	11	28	2003-11-28	2158	332	-38.2766722	-57.5700114	21H	450142.9335	5763333.269	30	14.8306	33.5373	2	0.00911	0	0	1
147	2003	11	28	2003-11-28	2158	332	-38.1800036	-57.0750015	21H	493431.1964	5774210.243	48.5	13.4016	33.5531	3	0.01046	0	1	1
148	2003	11	28	2003-11-28	2158	332	-37.7550151	-56.7733488	21H	519965.3993	5821341.818	33.5	14.4251	33.5396	2	0.00924	0	2	0
149	2003	11	28	2003-11-28	2158	332	-37.5733448	-56.6016787	21H	535173.2566	5841446.988	33.5	14.6347	33.5799	2	0.00915	0	2	0
150	2003	11	29	2003-11-29	2159	333	-36.9250185	-55.6366794	21H	621425.1304	5912577.54	46.5	13.3676	33.4275	4	0.01133	1	0	2
151	2003	11	29	2003-11-29	2159	333	-36.3616739	-55.5733448	21H	627995.3291	5974990.525	25.5	16.4182	31.3107	4	0.00976	0	0	0
152	2003	11	30	2003-11-30	2160	334	-36.1600032	-54.8883511	21H	689945.8813	5996238.778	42	13.3822	33.2829	4	0.01058	0	1	11
153	2003	11	30	2003-11-30	2160	334	-36.4900098	-55.1116689	21H	669140.7571	5960042.201	43.5	13.1111	33.4487	3	0.01061	0	1	16
154	2003	11	30	2003-11-30	2160	334	-36.1883371	-55.4183417	21H	642216.9009	5994002.697	30.5	15.9989	32.1869	4	0.00812	0	1	3
155	2003	11	30	2003-11-30	2160	334	-35.7416815	-55.3466736	21H	649501.4636	6043442.046	24.5	16.2569	31.7985	3	0.01001	5	0	0
156	2003	11	30	2003-11-30	2160	334	-35.5450109	-55.2650053	21H	657272.0758	6065130.03	22.5	16.2401	31.9427	3	0.00918	0	0	0
157	2003	12	1	2003-12-01	2161	335	-35.6933472	-54.9733528	21H	683373.7267	6048170.306	20.5	16.7605	32.0328	3	0.00856	0	0	0
158	2003	12	1	2003-12-01	2161	335	-35.5433442	-54.5316773	21H	723762.1394	6063896.521	27.5	15.8094	32.726	3	0.00859	0	0	0
159	2003	12	1	2003-12-01	2161	335	-35.4100082	-54.7783489	21H	701729.6564	6079220.224	28.5	16.5697	31.8826	3	0.00849	0	0	0
160	2003	12	1	2003-12-01	2161	335	-35.2900058	-53.5883451	22H	264618.7385	6091722.861	29.5	16.2317	32.2355	4	0.00926	1	2	0
161	2003	12	1	2003-12-01	2161	335	-35.116669	-54.4600092	21H	731474.753	6111066.077	34	15.7239	31.8542	2	0.01052	0	0	7
162	2003	12	1	2003-12-01	2161	335	-35.0750015	-54.3100062	21H	745273.0437	6115329.42	30	15.5903	31.9413	2	0.01105	5	1	6
163	2003	12	1	2003-12-01	2161	335	-35.2800056	-54.2600052	21H	749206.2152	6092461.498	24.5	15.8035	32.3312	4	0.00943	1	0	1
164	2003	12	2	2003-12-02	2162	336	-35.2233378	-53.9733528	22H	229374.9321	6098136.969	19.5	16.276	32.244	3	0.0101	0	1	0
165	2003	12	2	2003-12-02	2162	336	-35.1300026	-53.8750175	22H	238028.0719	6108755.972	27	15.1621	32.6367	3	0.00938	0	0	1
166	2003	12	2	2003-12-02	2162	336	-34.9933532	-53.8633506	22H	238655.8612	6123947.178	31.5	15.4498	32.5375	2	0.01013	1	0	0
167	2003	12	2	2003-12-02	2162	336	-34.9150183	-53.9600192	22H	229572.579	6132380.73	35.5	15.212	32.1704	2	0.01129	5	0	9
168	2003	12	2	2003-12-02	2162	336	-34.8100162	-53.7683487	22H	246766.5242	6144531.134	36.5	14.2478	32.9695	1	0.01066	0	1	2
169	2003	12	2	2003-12-02	2162	336	-34.8566838	-53.583345	22H	263827.2419	6139805.795	40.5	14.1377	32.9793	2	0.0112	1	0	0
170	2003	12	2	2003-12-02	2162	336	-34.9383521	-53.5433442	22H	267715.243	6130839.727	35.5	14.5077	32.9911	2	0.01135	0	0	0
171	2003	12	2	2003-12-02	2162	336	-35.0283339	-53.6766802	22H	255802.1819	6120539.363	22.5	15.5512	32.7613	2	0.00852	2	1	0
172	2003	12	3	2003-12-03	2163	337	-34.683347	-53.600012	22H	261805.2005	6158995.004	32	14.1342	32.6212	1	0.01108	0	0	0
173	2003	12	3	2003-12-03	2163	337	-34.7016807	-53.3800076	22H	282012.8715	6157460.207	47.5	13.3642	33.2887	2	0.01074	0	0	0
174	2003	12	3	2003-12-03	2163	337	-34.8350167	-53.2850057	22H	291052.3961	6142871.988	46.5	13.0903	33.3659	2	0.00964	0	0	0
175	2003	12	3	2003-12-03	2163	337	-34.7416815	-53.1300026	22H	305009.0165	6153536.809	46.5	12.8091	33.3592	2	0.01034	4	0	0
176	2003	12	3	2003-12-03	2163	337	-34.6066788	-52.916685	22H	324254.8094	6168903.488	38.5	12.4022	33.3928	2	0.01086	13	0	0
177	2003	12	3	2003-12-03	2163	337	-34.3600072	-52.7700154	22H	337226.2285	6196506.676	49	12.1977	33.2795	1	0.01073	3	0	0
178	2003	12	3	2003-12-03	2163	337	-34.2766722	-52.9183517	22H	323408.6343	6205501.15	49	12.1977	33.2795	2	0.01489	3	1	0
179	2003	12	3	2003-12-03	2163	337	-34.16667	-53.1616699	22H	300747.6014	6217252.227	28.5	16.7041	31.9538	1	0.00916	4	0	1
180	2003	12	4	2003-12-04	2164	338	-34.1483363	-53.5550111	22H	264432.0847	6218447.061	15.5	18.3731	30.7381	2	0.00743	1	0	0
181	2003	12	4	2003-12-04	2164	338	-34.2850057	-53.2783389	22H	290285.2663	6203892.904	22	16.482	31.8425	1	0.0088	0	0	0
182	2003	12	4	2003-12-04	2164	338	-34.4200084	-53.1566698	22H	301804.7627	6189163.659	48.5	12.5766	33.2256	2	0.00997	7	2	2
183	2003	12	4	2003-12-04	2164	338	-34.5016767	-53.0933352	22H	307813.4349	6180227.663	64.5	12.3579	33.3341	2	0.01177	4	0	0
184	2003	12	4	2003-12-04	2164	338	-34.4316753	-53.3366734	22H	285289.3036	6187502.663	25.5	16.6369	31.2835	1	0.00927	0	0	0
